iter	Logloss
0	0.691098857811	0.688968835522	0.686762755133	0.68445548134	0.681107133
5	0.67898077136	0.6781944763
77	0.674630778	08	0.672533199	09	0.6706492410	10	0.6691097011	11	0.6677063012	12	0.6653652713	0.6657663477
14	0.6639585511
1515	0.659217491116	0.657440591217	0.6588966897
118	0.653401928519	0.65562215
20	0.6536570259
21	0.6517084253
22	0.6499421462
23	0.6481387921
24	0.646329372
25	0.6450528351
26	0.6433654702
27	0.6418022253
28	0.6400361349
29	0.6383197997
30	0.6360859985
31	0.6341552466
32	0.6323789546
33	0.6309974511
34	0.6292109303
35	0.6270186664
36	0.625333722
37	0.6235899198
38	0.6220226233
39	0.6205105752
40	0.6188056919
41	0.6175724982
42	0.616789654
43	0.6155654718
44	0.6142608035
45	0.6130888566
46	0.6115882832
47	0.6102755017
48	0.6089186174
49	0.6071992671
50	0.6053297008
51	0.6041736432
52	0.6028762521
53	0.6013936172
54	0.6003571861
55	0.599341386
56	0.598048021
57	0.5963076133
58	0.5949208635
59	0.5937475182
60	0.5926056318
61	0.5917724007
62	0.5904268589
63	0.5897170817
64	0.5881426689
65	0.5868056789
66	0.5853087623
67	0.5836552576
68	0.5818788147
69	0.5808208834
70	0.5796251398
71	0.5783794311
72	0.5769036146
73	0.5757321939
74	0.5745086898
75	0.5732819937
76	0.5723690615
77	0.5710888877
78	0.5695739799
79	0.5682428669
80	0.5670835055
81	0.5664401701
82	0.5651815086
83	0.5639578717
84	0.5629242845
85	0.5617384141
86	0.5600516762
87	0.5586473612
88	0.5576578958
89	0.5563208736
90	0.5547931575
91	0.5540822
92	0.5532901456
93	0.5522440393
94	0.551199927
95	0.5500830167
96	0.5489064409
97	0.5479783226
98	0.5466587328
99	0.545194647
100	0.5438495912
101	0.5425288779
102	0.5418317846
103	0.5407732256
104	0.5394166294
105	0.5382724819
106	0.5372479803
107	0.5361363516
108	0.5352022863
109	0.5340433434
110	0.5326648976
111	0.5317637134
112	0.5309475821
113	0.5297747994
114	0.5288523174
115	0.5280182827
116	0.526891311
117	0.5258320033
118	0.5249007141
119	0.5239926429
120	0.5232842239
121	0.5225500904
122	0.5215989174
123	0.5205711257
124	0.5194948544
125	0.5187406865
126	0.5175602153
127	0.5167856187
128	0.5156428425
129	0.5147968645
130	0.5139762522
131	0.5128419015
132	0.5118162074
133	0.5104916354
134	0.5092881229
135	0.5080944913
136	0.5070776842
137	0.5064574992
138	0.5052478301
139	0.5045030265
140	0.5038319911
141	0.5031098499
142	0.5019525074
143	0.5011863041
144	0.5003938764
145	0.4994375342
146	0.4984932115
147	0.4976037381
148	0.4969510592
149	0.4960127008
150	0.495013546
151	0.49377207
152	0.492970782
153	0.4922002715
154	0.4913511691
155	0.4907152002
156	0.4897516974
157	0.4890807884
158	0.4884056335
159	0.4874093321
160	0.4864203093
161	0.4851472674
162	0.4845058588
163	0.4834747213
164	0.4828056579
165	0.4820385875
166	0.4808692746
167	0.4797068893
168	0.4788747443
169	0.4779101517
170	0.4772288233
171	0.4762138982
172	0.4754794329
173	0.4743861873
174	0.4735367983
175	0.4727720682
176	0.4716744541
177	0.4708812558
178	0.4698706037
179	0.4691169769
180	0.4684090166
181	0.4674103336
182	0.4668009653
183	0.4661069322
184	0.4655295298
185	0.4647899249
186	0.4638952727
187	0.4631348223
188	0.4627130497
189	0.4619001894
190	0.4609290032
191	0.4602534551
192	0.4597643293
193	0.4587078957
194	0.4582249729
195	0.457438288
196	0.4568546106
197	0.4558340987
198	0.4552646182
199	0.4542778815
200	0.4536074214
201	0.4530899584
202	0.4523347016
203	0.4515088526
204	0.4507816945
