HOL_YEAR,HOL_MM,HOL_START_DATE,HOL_END_DATE,HOL_NM,HOL_DUR
2016,8,2016-08-13,2016-08-15,"주말, 광복절",3
2016,9,2016-09-10,2016-09-18,"주말, 추석, 2일 휴가",9
2016,10,2016-10-01,2016-10-03,"주말, 개천절",3
2017,1,2017-01-27,2017-01-30,"설날 (대체공휴일 포함), 주말",4
2017,5,2017-05-03,2017-05-07,"부처님오신날, 어린이날, 주말, 1일 휴가",5
2017,6,2017-06-03,2017-06-06,"주말, 현충일, 1일 휴가",4
2017,8,2017-08-12,2017-08-15,"주말, 광복절, 1일 휴가",4
2017,10,2017-10-01,2017-10-09,"주말, 추석 (대체공휴일 포함), 개천절, 한글날, 1일 휴가",3
2017,12,2017-12-23,2017-12-25,"주말, 성탄절",3
2017,12,2017-12-30,2018-01-01,"주말, 신정",3
2018,2,2018-02-15,2018-02-18,"설날 (대체공휴일 포함), 주말",4
2018,3,2018-03-01,2018-03-04,"삼일절, 주말, 1일 휴가",4
2018,5,2018-05-05,2018-05-07,"어린이날 (대체공휴일 포함), 주말",3
2018,5,2018-05-19,2018-05-22,"부처님오신날, 주말, 1일 휴가",4
2018,9,2018-09-22,2018-09-30,"주말, 추석 (대체공휴일 포함), 2일 휴가",9
2018,10,2018-10-06,2018-10-09,"주말, 한글날, 1일 휴가",4
2018,12,2018-12-22,2018-12-25,"주말, 성탄절, 1일 휴가",4
2019,2,2019-02-02,2019-02-10,"주말, 설날 (대체공휴일 포함), 2일 휴가",9
2019,3,2019-03-01,2019-03-03,"삼일절, 주말",3
2019,5,2019-05-04,2019-05-06,"주말, 어린이날 (대체공휴일 포함)",3
2019,6,2019-06-06,2019-06-09,"현충일, 주말, 1일 휴가",4
2019,8,2019-08-15,2019-08-18,"광복절, 주말, 1일 휴가",4
2019,9,2019-09-12,2019-09-15,"추석, 주말",4
2019,10,2019-10-03,2019-10-06,"개천절, 주말",4
2020,1,2020-01-24,2020-01-27,"설날 (대체공휴일 포함), 주말",4
2020,5,2020-05-02,2020-05-05,"어린이날, 주말, 1일 휴가",4
2020,9,2020-09-30,2020-10-04,"추석, 주말",5
2020,10,2020-10-09,2020-10-11,"한글날, 주말",3
2020,12,2020-12-25,2020-12-27,"성탄절, 주말",3
2021,1,2021-01-01,2021-01-03,"신정, 주말",3
2021,2,2021-02-11,2021-02-14,"설날, 주말",4
2021,2,2021-02-27,2021-03-01,"주말, 삼일절",3
2021,8,2021-08-14,2021-08-16,"주말, 광복절 (대체공휴일)",3
2021,9,2021-09-18,2021-09-26,"주말, 추석, 2일 휴가",9
2021,10,2021-10-02,2021-10-04,"주말, 개천절 (대체공휴일)",3
2021,10,2021-10-09,2021-10-11,"주말, 한글날 (대체공휴일)",3
2022,1,2022-01-29,2022-02-06,"설날 (대체공휴일 포함), 주말, 2일 휴가",9
2022,2,2022-02-26,2022-03-01,"주말, 삼일절, 1일 휴가",4
2022,5,2022-05-05,2022-05-08,"주말, 어린이날, 1일 휴가",4
2022,6,2022-06-04,2022-06-06,"주말, 현충일",3
2022,8,2022-08-13,2022-08-15,"주말, 광복절",3
2022,9,2022-09-09,2022-09-12,"추석 (대체공휴일 포함), 주말",4
2022,10,2022-10-01,2022-10-03,"주말, 개천절",3
2022,10,2022-10-08,2022-10-10,"주말, 한글날 (대체공휴일)",3
2023,1,2023-01-21,2023-01-24,"주말, 설날 (대체공휴일 포함)",4
2023,5,2023-05-05,2023-05-07,"어린이날, 주말",3
2023,5,2023-05-27,2023-05-29,"주말, 부처님오신날 (대체공휴일 포함)",3
2023,6,2023-06-03,2023-06-06,"현충일, 주말, 1일 휴가",4
2023,8,2023-08-12,2023-08-15,"광복절, 주말, 1일 휴가",4
2023,9,2023-09-28,2023-10-03,"추석 (대체공휴일 포함), 개천절",6
2023,10,2023-10-07,2023-10-09,"주말, 한글날",3
2023,12,2023-12-23,2023-12-25,"주말, 성탄절",3
2023,12,2023-12-30,2024-01-01,"주말, 신정",3
