OCCRNC_YEAR,OCCRNC_MM,OCCRNC_REGN,OCCRNC_CNT,PATNT_CNT,OCCRNC_IND,HOL_IND,HOL_DUR,CPI_VALUE,WTHR_AVG_TEMP,WTHR_AVG_H_TEMP,WTHR_AVG_L_TEMP,WTHR_AVG_PRECIP,WTHR_AVG_WNDSPD,WTHR_MX_WNDSPD,WTHR_AVG_PRESS,WTHR_MX_PRESS,WTHR_MN_PRESS,WTHR_AVG_SEA_PRESS,WTHR_MX_SEA_PRESS,WTHR_MN_SEA_PRESS,WTHR_AVG_RHUM,WTHR_MN_RHUM,WTHR_SUM_SUNHR,FST_CNT,FST_IND,POP_GEN_CNT,POP_ELM_CNT,POP_MID_CNT,POP_HIGH_CNT,POP_60P_CNT,POP_STU_PER_SCH,POP_ELM_RATIO,POP_MID_RATIO,POP_HIGH_RATIO,POP_60P_RATIO,POP_DENS,GMS_LIC_CNT
2022,7,경기,8.0,68.0,1,0,0,108.73,26.1,30.6,22.5,274.1,1.2,5.8,1002.6,1012.2,994.2,1006.7,1016.5,998.4,89.0,51.0,196.1,2,1,13589362.0,796455.0,399114.0,378787.0,2962225.0,589.2361275,0.058608712,0.029369591,0.027873788,0.217981168,1332.350004,24
2022,6,경기,7.0,129.0,1,1,3,108.2,22.2,27.1,18.0,430.5,1.6,7.8,1004.2,1012.6,989.9,1008.3,1016.2,993.8,84.0,26.0,162.2,6,1,13585967.0,796979.0,399576.0,378118.0,2950149.0,589.2361275,0.058661927,0.029410936,0.027831512,0.217146781,1332.017146,34
2022,5,경기,6.0,239.0,1,1,4,107.55,17.7,24.8,10.8,11.6,1.7,7.2,1009.3,1018.1,996.3,1013.2,1022.6,1000.2,69.0,17.0,317.2,12,1,13581496.0,797378.0,399656.0,377647.0,2940075.0,589.2361275,0.058710616,0.029426508,0.027805994,0.216476521,1331.578793,26
2022,4,경기,2.0,8.0,1,0,0,106.86,13.4,20.8,6.9,35.3,1.7,6.4,1014.2,1028.3,996.3,1018.0,1032.5,1000.5,65.0,20.0,271.2,10,1,13577808.0,797679.0,400214.0,377034.0,2929140.0,589.2361275,0.058748732,0.029475597,0.0277684,0.215729962,1331.217208,29
2022,3,경기,2.0,69.0,1,0,0,106.14,6.6,13.1,0.8,92.4,1.6,9.2,1014.6,1025.4,992.1,1018.4,1029.4,995.9,70.0,15.0,201.9,2,1,13575936.0,798206.0,400447.0,377079.0,2922646.0,589.2361275,0.058795651,0.029496824,0.027775543,0.215281363,1331.033671,52
2022,2,경기,2.0,24.0,1,1,4,105.41,-2.0,4.4,-8.0,5.1,1.8,7.5,1023.1,1032.8,1008.7,1027.1,1036.9,1013.0,63.0,20.0,227.2,0,0,13574369.0,798517.0,400884.0,377460.0,2911191.0,589.2361275,0.058825349,0.029532422,0.027806817,0.214462344,1330.880036,47
2022,1,경기,1.0,12.0,1,1,9,104.88,-3.4,2.8,-9.3,5.4,1.2,6.0,1022.5,1031.1,1014.6,1026.5,1035.5,1018.5,66.0,23.0,219.2,1,1,13571450.0,799126.0,401669.0,377364.0,2892779.0,589.2361275,0.058882875,0.029596616,0.027805725,0.2131518,1330.593847,26
2022,12,경남,1.0,12.0,1,0,0,109.38,1.1,6.7,-3.7,9.5,1.7,8.1,1022.4,1031.9,1004.4,1025.0,1034.1,1008.1,63.0,20.0,232.3,5,1,3280493.0,186018.0,96015.0,93601.0,932541.0,368.6729811,0.056704282,0.029268467,0.028532602,0.284268554,311.1912157,4
2022,11,경남,2.0,77.0,1,0,0,109.23,11.0,18.4,5.1,56.5,1.2,7.0,1019.4,1030.3,1005.7,1022.0,1033.4,1008.0,71.0,23.0,214.3,4,1,3282849.0,186794.0,96093.0,93487.0,929485.0,368.6729811,0.056899967,0.029271221,0.028477399,0.283133644,311.4147085,5
2022,10,경남,2.0,29.0,1,1,6,109.31,15.4,22.0,10.0,19.1,1.4,7.6,1019.8,1028.5,1008.3,1022.3,1032.2,1010.5,75.0,31.0,242.7,29,1,3284495.0,187553.0,96209.0,93080.0,925859.0,368.6729811,0.057102538,0.02929187,0.028339212,0.281887779,311.5708499,4
2022,9,경남,1.0,11.0,1,1,4,108.96,21.8,27.1,17.7,185.3,1.4,10.1,1011.5,1017.9,979.2,1013.6,1021.0,984.9,81.0,35.0,175.9,8,1,3286470.0,188562.0,96359.0,92576.0,921648.0,368.6729811,0.057375238,0.029319909,0.028168826,0.280437065,311.7582006,4
2022,8,경남,3.0,10.0,1,1,3,108.78,26.2,30.3,22.9,183.3,1.4,6.7,1006.8,1015.4,1000.4,1008.2,1017.5,1002.1,91.0,45.0,186.9,10,1,3290991.0,189165.0,96566.0,92077.0,919429.0,368.6729811,0.057479647,0.029342529,0.027978503,0.279377549,312.1870677,6
2022,7,경남,7.0,89.0,1,0,0,109.04,26.6,31.3,22.9,159.5,1.4,6.7,1005.4,1015.4,996.0,1006.6,1016.7,997.6,84.0,47.0,233.8,8,1,3293709.0,189610.0,96950.0,91569.0,916039.0,368.6729811,0.05756732,0.029434902,0.027801181,0.278117769,312.4449002,11
2022,6,경남,6.0,108.0,1,1,3,108.58,22.7,27.6,18.8,135.7,1.8,6.4,1007.6,1014.5,996.1,1009.1,1016.0,997.2,83.0,29.0,206.4,8,1,3295615.0,189942.0,97083.0,91352.0,912738.0,368.6729811,0.057634766,0.029458235,0.027719257,0.276955288,312.6257055,5
2022,5,경남,3.0,38.0,1,1,4,107.85,19.1,26.1,12.5,3.8,1.6,7.1,1011.4,1020.8,997.4,1012.9,1022.5,1000.0,63.0,19.0,310.8,12,1,3298016.0,190220.0,97155.0,91229.0,909995.0,368.6729811,0.0576771,0.02945862,0.027661782,0.275921948,312.853467,8
2022,4,경남,1.0,3.0,1,0,0,107.21,14.7,21.4,8.5,91.7,1.6,6.6,1016.1,1029.3,1000.0,1017.7,1031.3,1001.7,69.0,15.0,264.1,16,1,3300692.0,190414.0,97469.0,91031.0,906895.0,368.6729811,0.057689115,0.029529868,0.027579368,0.274759051,313.1073154,12
2022,3,경남,0.0,0.0,0,0,0,106.49,9.4,15.8,3.3,103.6,1.7,8.3,1016.3,1027.6,996.3,1017.9,1029.1,999.7,69.0,15.0,222.2,7,1,3303274.0,190756.0,97460.0,91044.0,905790.0,368.6729811,0.057747556,0.029504062,0.027561746,0.274209769,313.3522468,13
2022,2,경남,0.0,0.0,0,1,4,105.76,2.0,8.1,-3.6,0.2,2.1,7.7,1023.2,1032.0,1013.1,1025.8,1035.2,1016.1,48.0,17.0,244.8,2,1,3307005.0,191053.0,97465.0,91242.0,903309.0,368.6729811,0.057772214,0.029472287,0.027590524,0.273150177,313.7061736,16
2022,1,경남,0.0,0.0,0,1,9,105.21,1.4,7.9,-4.0,0.0,1.5,7.8,1022.2,1030.9,1011.4,1024.8,1034.0,1014.4,54.0,15.0,233.2,1,1,3311438.0,191608.0,97501.0,91120.0,898787.0,368.6729811,0.057862475,0.029443704,0.027516747,0.271418942,314.1266929,8
2022,12,경북,1.0,52.0,1,0,0,110.16,-1.0,4.3,-5.7,14.3,2.4,9.4,1022.8,1032.5,1003.9,1025.4,1034.7,1007.1,68.0,39.0,229.9,2,1,2600492.0,128035.0,64799.0,65426.0,865860.0,267.2035491,0.049234914,0.024917977,0.025159085,0.332960071,136.6065292,4
2022,11,경북,0.0,0.0,0,0,0,110.24,9.4,16.7,3.5,72.3,1.7,8.2,1020.3,1030.0,1006.8,1022.3,1033.8,1008.9,77.0,32.0,210.3,2,1,2602052.0,128494.0,64798.0,65441.0,863582.0,267.2035491,0.049381796,0.024902654,0.025149766,0.331884989,136.6884776,6
2022,10,경북,3.0,45.0,1,1,6,110.28,13.6,20.0,8.4,79.1,1.7,8.5,1021.0,1029.5,1007.4,1022.5,1032.3,1009.0,82.0,28.0,207.9,20,1,2603389.0,129113.0,64797.0,65251.0,861296.0,267.2035491,0.049594202,0.024889481,0.025063869,0.33083646,136.7587116,7
2022,9,경북,2.0,12.0,1,1,4,109.91,20.2,25.6,15.9,131.1,1.8,11.1,1013.4,1019.9,984.3,1014.3,1021.3,990.9,82.0,35.0,170.7,9,1,2605066.0,129664.0,64985.0,65043.0,858580.0,267.2035491,0.049773787,0.024945625,0.024967889,0.329580901,136.8468061,8
2022,8,경북,2.0,14.0,1,1,3,109.7,25.0,29.2,21.6,218.4,1.5,6.3,1007.3,1016.8,999.7,1008.4,1018.2,1000.9,88.0,41.0,164.1,7,1,2609356.0,130012.0,65117.0,64911.0,857715.0,267.2035491,0.049825321,0.0249552,0.024876253,0.328707543,137.0721643,4
2022,7,경북,2.0,15.0,1,0,0,110.1,25.6,30.2,22.0,135.3,1.5,6.3,1006.4,1015.7,997.2,1007.1,1016.8,997.7,90.0,50.0,189.1,5,1,2612016.0,130271.0,65344.0,64695.0,855381.0,267.2035491,0.049873737,0.025016692,0.024768225,0.327479234,137.2118968,4
2022,6,경북,4.0,93.0,1,1,3,109.56,22.3,27.7,17.5,104.0,2.0,7.3,1008.0,1016.3,994.5,1008.8,1017.0,995.7,85.0,22.0,235.8,5,1,2613963.0,130443.0,65524.0,64730.0,853268.0,267.2035491,0.04990239,0.025066919,0.024763166,0.326426962,137.3141747,8
2022,5,경북,2.0,15.0,1,1,4,108.62,18.4,25.4,11.4,4.5,2.1,7.8,1011.8,1022.9,998.1,1012.9,1023.7,999.1,60.0,24.0,326.1,7,1,2616177.0,130624.0,65581.0,64655.0,851344.0,267.2035491,0.049929343,0.025067494,0.024713542,0.325415291,137.4304784,6
2022,4,경북,0.0,0.0,0,0,0,107.92,13.9,20.8,7.0,41.9,2.2,8.0,1016.6,1031.2,1001.0,1017.7,1032.7,1001.5,69.0,19.0,263.6,6,1,2617552.0,130637.0,65772.0,64559.0,849031.0,267.2035491,0.049908082,0.025127295,0.024663884,0.3243607,137.5027086,7
2022,3,경북,0.0,0.0,0,0,0,106.99,7.7,13.9,1.7,73.5,2.2,9.8,1017.0,1028.5,994.8,1018.2,1030.7,997.1,73.0,19.0,216.4,1,1,2619641.0,130708.0,65915.0,64667.0,848082.0,267.2035491,0.049895386,0.025161845,0.024685444,0.32373978,137.6124459,8
