OCCRNC_YEAR,OCCRNC_MM,PATNT_CNT,OCCRNC_CNT,OCCRNC_AREA
2023,05,385,7,경기
2023,04,177,3,서울
2023,04,9,3,강원
2023,04,4,1,충북
2023,04,29,2,충남
2023,04,15,2,경북
2023,04,73,5,경남
2023,04,23,1,불명
2023,04,14,4,부산
2023,04,4,1,인천
2023,04,296,1,광주
2023,04,33,1,울산
2023,04,121,4,경기
2023,03,196,4,서울
2023,03,15,5,강원
2023,03,3,1,충북
2023,03,113,1,충남
2023,03,32,3,전북
2023,03,18,1,경남
2023,03,62,6,불명
2023,03,12,4,부산
2023,03,2,1,인천
2023,03,2,1,광주
2023,03,59,3,경기
2023,02,21,2,서울
2023,02,2,1,강원
2023,02,4,1,충북
2023,02,56,5,충남
2023,02,15,1,전북
2023,02,3,1,경남
2023,02,31,3,불명
2023,02,11,2,부산
2023,02,40,3,대구
2023,02,4,1,인천
2023,02,6,1,광주
2023,02,73,3,경기
2023,01,37,1,서울
2023,01,23,2,강원
2023,01,84,2,충북
2023,01,8,3,충남
2023,01,21,2,전북
2023,01,8,2,전남
2023,01,9,2,경북
2023,01,2,1,경남
2023,01,10,4,부산
2023,01,119,3,대구
2023,01,43,2,인천
2023,01,4,1,광주
2023,01,5,1,대전
2023,01,54,5,경기
2022,12,62,4,서울
2022,12,15,1,충북
2022,12,40,4,충남
2022,12,14,1,전북
2022,12,3,1,전남
2022,12,52,1,경북
2022,12,12,1,경남
2022,12,96,5,부산
2022,12,11,2,대구
2022,12,32,1,인천
2022,12,6,2,대전
2022,12,99,8,경기
2022,11,106,7,서울
2022,11,16,2,충북
2022,11,36,6,충남
2022,11,4,1,전북
2022,11,2,1,전남
2022,11,77,2,경남
2022,11,21,2,부산
2022,11,7,1,대구
2022,11,43,4,경기
2022,10,104,6,서울
2022,10,3,1,강원
2022,10,2,1,충북
2022,10,58,2,전북
2022,10,4,1,전남
2022,10,45,3,경북
2022,10,29,2,경남
2022,10,13,2,제주
2022,10,81,1,부산
2022,10,4,1,대구
2022,10,93,2,경기
2022,09,10,2,서울
2022,09,77,5,강원
2022,09,10,2,충북
2022,09,43,4,전남
2022,09,12,2,경북
2022,09,11,1,경남
2022,09,29,2,제주
2022,09,55,1,불명
2022,09,239,5,부산
2022,09,27,1,대구
2022,09,2,1,인천
2022,09,63,3,경기
2022,08,35,6,서울
2022,08,6,2,충북
2022,08,22,2,충남
2022,08,6,1,전남
2022,08,14,2,경북
2022,08,10,3,경남
2022,08,10,2,불명
2022,08,78,7,부산
2022,08,66,1,대구
2022,08,4,1,세종
2022,08,287,4,경기
2022,07,37,6,서울
2022,07,19,3,강원
2022,07,2,1,충남
2022,07,15,4,전북
2022,07,8,2,전남
2022,07,15,2,경북
2022,07,89,7,경남
2022,07,13,1,제주
2022,07,23,4,불명
2022,07,104,5,부산
2022,07,66,5,대구
2022,07,174,4,인천
2022,07,5,2,광주
2022,07,4,1,대전
2022,07,10,2,울산
2022,07,68,8,경기
2022,06,152,7,서울
2022,06,3,1,강원
2022,06,5,1,충북
2022,06,27,2,충남
2022,06,10,2,전남
2022,06,93,4,경북
2022,06,108,6,경남
2022,06,44,7,제주
2022,06,467,4,부산
2022,06,5,1,대전
2022,06,129,7,경기
